predictand_form,domain,predictor_family,predictor,index,scenario,n_models,n_families,r,permutation_p,LOFO_skill,bootstrap_sign_stability,q_BH,satisfies_all_criteria,predictor_enters_predictand
absolute,eastern,B,R99p climatology,r95p,ssp245,23,13,0.01,0.9616,-0.163,0.545,0.997,no,yes
absolute,eastern,B,R99p climatology,r95p,ssp370,23,13,-0.502,0.0366,-0.804,0.742,0.1631,no,yes
absolute,eastern,B,R99p climatology,r95p,ssp585,23,13,0.073,0.762,-0.216,0.709,0.997,no,yes
absolute,eastern,B,tail concentration R95p/PRCPTOT,rx1day,ssp126,23,13,-0.793,0.0006,0.546,0.997,0.0264,yes,yes
absolute,eastern,B,tail concentration R95p/PRCPTOT,rx1day,ssp245,23,13,-0.021,0.9196,-0.278,0.575,0.997,no,yes
absolute,eastern,B,tail concentration R95p/PRCPTOT,rx1day,ssp370,23,13,-0.585,0.0154,-0.092,0.845,0.1083,no,yes
absolute,eastern,B,tail concentration R95p/PRCPTOT,rx1day,ssp585,23,13,0.001,0.9966,-0.187,0.492,0.997,no,yes
absolute,eastern,B,tail concentration R95p/PRCPTOT,r95p,ssp126,23,13,-0.792,0.003,0.299,0.995,0.048,yes,yes
absolute,eastern,B,tail concentration R95p/PRCPTOT,r95p,ssp245,23,13,0.036,0.8736,-0.191,0.56,0.997,no,yes
absolute,eastern,B,tail concentration R95p/PRCPTOT,r95p,ssp370,23,13,-0.57,0.033,-0.873,0.726,0.1631,no,yes
absolute,eastern,B,tail concentration R95p/PRCPTOT,r95p,ssp585,23,13,0.062,0.8238,-0.264,0.689,0.997,no,yes
absolute,eastern,B,event duration Rx5day/Rx1day,rx1day,ssp126,23,13,0.463,0.0366,-0.726,0.733,0.1631,no,no
absolute,eastern,B,event duration Rx5day/Rx1day,rx1day,ssp245,23,13,-0.072,0.7435,-0.181,0.694,0.997,no,no
absolute,eastern,B,event duration Rx5day/Rx1day,rx1day,ssp370,23,13,0.362,0.091,-0.679,0.739,0.3174,no,no
absolute,eastern,B,event duration Rx5day/Rx1day,rx1day,ssp585,23,13,0.061,0.7958,-0.188,0.666,0.997,no,no
absolute,eastern,B,event duration Rx5day/Rx1day,r95p,ssp126,23,13,0.563,0.0246,-0.709,0.795,0.1443,no,no
absolute,eastern,B,event duration Rx5day/Rx1day,r95p,ssp245,23,13,-0.188,0.3733,-0.159,0.915,0.8213,no,no
absolute,eastern,B,event duration Rx5day/Rx1day,r95p,ssp370,23,13,0.405,0.0618,-0.86,0.68,0.2266,no,no
absolute,eastern,B,event duration Rx5day/Rx1day,r95p,ssp585,23,13,-0.016,0.945,-0.22,0.566,0.997,no,no
absolute,eastern,B,wet-day frequency,rx1day,ssp126,23,13,-0.17,0.4495,-0.157,0.886,0.8647,no,no
absolute,eastern,B,wet-day frequency,rx1day,ssp245,23,13,0.028,0.8978,-0.207,0.56,0.997,no,no
absolute,eastern,B,wet-day frequency,rx1day,ssp370,23,13,0.095,0.6669,-0.182,0.715,0.9946,no,no
absolute,eastern,B,wet-day frequency,rx1day,ssp585,23,13,0.17,0.4365,-0.212,0.819,0.8647,no,no
absolute,eastern,B,wet-day frequency,r95p,ssp126,23,13,-0.141,0.5425,-0.17,0.87,0.9668,no,no
absolute,eastern,B,wet-day frequency,r95p,ssp245,23,13,-0.005,0.9886,-0.162,0.477,0.997,no,no
absolute,eastern,B,wet-day frequency,r95p,ssp370,23,13,-0.001,0.997,-0.236,0.527,0.997,no,no
absolute,eastern,B,wet-day frequency,r95p,ssp585,23,13,0.019,0.933,-0.247,0.514,0.997,no,no
absolute,eastern,C,interannual variability Rx1day,rx1day,ssp126,23,13,-0.699,0.0082,0.098,0.942,0.0849,no,no
absolute,eastern,C,interannual variability Rx1day,rx1day,ssp245,23,13,0.013,0.95,-0.181,0.543,0.997,no,no
absolute,eastern,C,interannual variability Rx1day,rx1day,ssp370,23,13,-0.553,0.0156,-0.194,0.839,0.1083,no,no
absolute,eastern,C,interannual variability Rx1day,rx1day,ssp585,23,13,0.03,0.9042,-0.212,0.605,0.997,no,no
absolute,eastern,C,interannual variability Rx1day,r95p,ssp126,23,13,-0.711,0.0134,-0.216,0.911,0.1083,no,no
absolute,eastern,C,interannual variability Rx1day,r95p,ssp245,23,13,0.045,0.8388,-0.143,0.642,0.997,no,no
absolute,eastern,C,interannual variability Rx1day,r95p,ssp370,23,13,-0.541,0.038,-0.809,0.725,0.1631,no,no
absolute,eastern,C,interannual variability Rx1day,r95p,ssp585,23,13,0.091,0.7263,-0.305,0.742,0.997,no,no
absolute,eastern,C,interannual variability R95p,rx1day,ssp126,23,13,-0.422,0.0582,-0.537,0.709,0.2179,no,no
absolute,eastern,C,interannual variability R95p,rx1day,ssp245,23,13,0.431,0.041,-0.178,0.996,0.1648,no,no
absolute,eastern,C,interannual variability R95p,rx1day,ssp370,23,13,-0.202,0.3441,-0.785,0.647,0.7765,no,no
absolute,eastern,C,interannual variability R95p,rx1day,ssp585,23,13,0.427,0.038,-0.196,0.994,0.1631,no,no
absolute,eastern,C,interannual variability R95p,r95p,ssp126,23,13,-0.509,0.0304,-0.4,0.745,0.1621,no,no
absolute,eastern,C,interannual variability R95p,r95p,ssp245,23,13,0.322,0.1384,-0.049,0.992,0.4128,no,no
absolute,eastern,C,interannual variability R95p,r95p,ssp370,23,13,-0.298,0.1562,-0.753,0.64,0.4433,no,no
absolute,eastern,C,interannual variability R95p,r95p,ssp585,23,13,0.335,0.1252,-0.142,0.997,0.4006,no,no
absolute,eastern,C,historical trend Rx1day,rx1day,ssp126,23,13,0.012,0.9624,-0.252,0.533,0.997,no,no
absolute,eastern,C,historical trend Rx1day,rx1day,ssp245,23,13,0.08,0.7241,-0.256,0.611,0.997,no,no
absolute,eastern,C,historical trend Rx1day,rx1day,ssp370,23,13,0.144,0.5021,-0.202,0.786,0.9205,no,no
